mean_test_deceased recall,mean_test_deceased f1,mean_test_total recall,mean_test_total f1,param_learning_rate,param_n_estimators,param_max_depth
0.0,0.0,0.9726120102869296,0.9664534836259427,0.1,5,5
0.7294003173123401,0.8433740131531311,0.9836352087378988,0.9833383893721687,0.1,10,5
0.041229661944371006,0.07878365608371243,0.9755667183226807,0.9701433430548546,0.1,20,5
0.0,0.0,0.9745228787553174,0.9683702225655055,0.1,5,10
0.7505712836604095,0.8572474810222899,0.9845532427800212,0.9842942112027613,0.1,10,10
0.029193908097597965,0.05658922787132838,0.9772667788245547,0.971655472473803,0.1,20,10
0.0,0.0,0.9745398802956048,0.9683859496230529,0.1,5,15
0.7489005214494318,0.8562996013408897,0.9847232489920599,0.984461354834717,0.1,10,15
0.02912194800182728,0.05636621177687194,0.9778107996163812,0.972200806962611,0.1,20,15
0.0,0.0,0.9722175953501399,0.9660508661688827,0.05,5,5
0.5870958174366503,0.7393294126932839,0.9811973226942874,0.9804836707255898,0.05,10,5
0.0,0.0,0.9747676872012265,0.9686338278663762,0.05,20,5
0.0,0.0,0.9742678699285936,0.9681092843936149,0.05,5,10
0.7469423489657885,0.854904020014773,0.9841758279962232,0.983902187313664,0.05,10,10
0.0,0.0,0.975216503147825,0.9690673193126396,0.05,20,10
0.0,0.0,0.9743256722406886,0.9681683442347963,0.05,5,15
0.7472197414761907,0.8550804587182299,0.9841078264593932,0.9838308251220498,0.05,10,15
0.0,0.0,0.9750158970650297,0.96886541646737,0.05,20,15
0.7360317997063769,0.8476666816911125,0.9823805621288855,0.9820814396592844,0.3,5,5
0.7636811722384153,0.8574879189226143,0.9849000526641154,0.984682981590935,0.3,10,5
0.7637639620743654,0.8632845133827154,0.9892964134426941,0.9891101065538905,0.3,20,5
0.6703422778671502,0.8020930582563187,0.9829585846139907,0.982519660860007,0.3,5,10
0.774665290547593,0.86830383585043,0.9892522120044444,0.989085898871464,0.3,10,10
0.7779355361081479,0.8741016087554809,0.9902076460941285,0.9900480991007685,0.3,20,10
0.6894369472994578,0.8157984335995545,0.9832577944165326,0.9828705301344117,0.3,5,15
0.7711974552583797,0.8662673289835597,0.9892760134903202,0.9891036680809406,0.3,10,15
0.7776879942353481,0.8733869324023852,0.9902144469067767,0.9900543912045631,0.3,20,15
