mean_test_deceased recall,mean_test_deceased f1,mean_test_total recall,mean_test_total f1,param_n_neighbors,param_weights
0.8408221264792479,0.855273457923993,0.9898030317591916,0.9897736225524356,5,distance
0.8306319415235258,0.8687436356507912,0.9902450466619257,0.9901764071519912,5,uniform
0.8347626572085745,0.8597849653110311,0.9899152357169392,0.9898671899835045,10,distance
0.8165857651164641,0.8782909643374708,0.9902620472773492,0.9901621455081818,10,uniform
0.8336611077638963,0.8609550312194214,0.9898132310995347,0.9897621689493838,15,distance
0.8072212685817789,0.8729077236752294,0.9898778328947865,0.9897702746554412,15,uniform
