mean_test_deceased recall,mean_test_deceased f1,mean_test_total recall,mean_test_total f1,param_min_samples_leaf,param_n_estimators,param_max_depth
0.003305785123966942,0.006575342465753425,0.9672533824091968,0.9613643845345194,5,5,5
0.005232644059704207,0.010395229948423157,0.9736694410748716,0.9676468076802285,5,10,5
0.18603756711797226,0.24211317167637905,0.9768145500726764,0.9725210007379467,5,20,5
0.002753305216729001,0.005467471014330246,0.9712111741542024,0.9652388718501428,10,5,5
0.0027548209366391185,0.005470469346507972,0.9733328387392868,0.9672790459782871,10,10,5
0.27658326417861245,0.3269788825237332,0.9773823748937543,0.9735592726308472,10,20,5
0.21267217630853996,0.26721611299888487,0.9754307210872234,0.9712773159126762,15,5,5
0.0,0.0,0.974981894620299,0.968896576303447,15,10,5
0.0,0.0,0.97487308895903,0.9687787264130675,15,20,5
0.8066676518846083,0.8880706674740217,0.9904354519592783,0.9903132054691577,5,5,10
0.803363761410529,0.8868556413424526,0.9912480834921457,0.9911297472322896,5,10,10
0.8014350078249042,0.887420459830168,0.9913126860388491,0.9911913390818521,5,20,10
0.7873873156979322,0.8759200894108204,0.9908774718331553,0.9907370608855036,10,5,10
0.7928984732911205,0.8825397818626758,0.9911052789699932,0.9909719702341494,10,10,10
0.797857150977071,0.8852949456653952,0.9911528803810373,0.9910244675415619,10,20,10
0.7389634749394659,0.8432970107723327,0.9898506365806711,0.989583442615481,15,5,10
0.7909716143553832,0.8817262197658214,0.9906972625235145,0.9905566039751748,15,10,10
0.7929003679410082,0.8838737887185154,0.9909250723771399,0.9907908303682642,15,20,10
0.8160336641392038,0.8879863806090521,0.991367086875246,0.9912636512694857,5,5,15
0.8190609357296866,0.8919867401382314,0.9916356970960509,0.991535883560805,5,10,15
0.8154823210218984,0.8917883970239057,0.9917036996155488,0.991598192317894,5,20,15
0.8080454412829055,0.8843408649740951,0.9911630806462443,0.9910488488034321,10,5,15
0.8044641740652745,0.888327493455481,0.9912106821150923,0.9910908713949269,10,10,15
0.8058431002535041,0.8880734355664683,0.9913228861306441,0.9912039072639406,10,20,15
0.7973084603696083,0.8834821012601639,0.9909386729619649,0.9908067272661087,15,5,15
0.8036362120643726,0.8855379261709168,0.9911698809964609,0.9910458254890713,15,10,15
0.8069416182583622,0.8885210790280137,0.9912582835839405,0.9911403685077144,15,20,15
